Id,Begin,End
45,2007-05-28 23:30:01.356,2007-05-30 06:57:18.906
46,2007-05-28 20:58:22.013,2007-05-28 21:18:10.027
47,2007-05-28 12:09:41.731,2007-05-29 02:56:46.919
48,2007-05-28 07:40:31.547,2007-05-28 19:09:16.138
49,2007-05-29 12:44:45.702,2007-05-29 20:22:23.641
50,2007-05-28 12:51:26.868,2007-05-28 15:24:37.135
51,2007-05-28 18:41:46.118,2007-05-29 22:53:13.431
52,2007-05-29 21:57:59.996,2007-05-30 17:57:04.664
53,2007-05-29 23:03:42.164,2007-05-30 07:34:07.252
54,2007-05-29 07:42:45.673,2007-05-30 14:07:13.911
55,2007-05-29 05:10:09.050,2007-05-29 07:27:21.395
56,2007-05-28 05:23:50.597,2007-05-28 19:06:28.261
57,2007-05-28 22:20:27.296,2007-05-29 04:07:17.971
58,2007-05-28 09:53:53.498,2007-05-28 13:09:41.722
59,2007-05-29 20:51:43.749,2007-05-30 01:32:54.528
60,2007-05-28 13:59:28.817,2007-05-29 12:49:03.236
61,2007-05-29 10:12:31.107,2007-05-30 10:13:40.758
62,2007-05-28 05:31:28.859,2007-05-29 21:21:35.253
63,2007-05-28 01:55:32.296,2007-05-28 12:28:09.907
64,2007-05-28 17:27:53.371,2007-05-29 16:30:38.651
65,2007-05-29 09:53:40.836,2007-05-29 17:00:38.748
66,2007-05-29 19:01:25.098,2007-05-31 12:55:24.858
67,2007-05-28 03:55:35.690,2007-05-28 13:22:01.521
68,2007-05-28 04:03:16.679,2007-05-29 09:44:40.464
69,2007-05-28 17:59:01.519,2007-05-30 12:15:15.992
70,2007-05-29 18:22:12.724,2007-05-30 12:57:59.666
71,2007-05-28 05:02:55.460,2007-05-28 19:09:18.526
72,2007-05-28 22:01:57.596,2007-05-29 21:29:53.883
73,2007-05-29 11:47:10.348,2007-05-30 04:14:02.606
74,2007-05-28 21:08:08.535,2007-05-29 05:21:31.737
75,2007-05-29 07:35:48.140,2007-05-30 03:47:25.950
76,2007-05-29 15:14:01.456,2007-05-30 16:52:56.925
77,2007-05-28 06:38:03.997,2007-05-28 15:23:14.039
78,2007-05-29 22:29:23.651,2007-05-30 17:10:13.656
79,2007-05-29 12:12:00.606,2007-05-29 12:53:07.160
80,2007-05-28 04:28:03.513,2007-05-30 13:36:47.302
81,2007-05-29 01:01:45.016,2007-05-30 03:52:33.916
82,2007-05-28 20:37:44.211,2007-05-29 09:45:50.351
83,2007-05-28 05:54:07.965,2007-05-29 02:45:04.200
84,2007-05-28 02:47:07.091,2007-05-28 13:17:29.448
85,2007-05-29 01:22:08.836,2007-05-29 19:01:41.135
86,2007-05-28 15:02:32.733,2007-05-30 06:05:05.276
87,2007-05-28 17:40:46.186,2007-05-29 16:18:19.671
88,2007-05-28 03:13:39.208,2007-05-29 11:07:35.358
89,2007-05-29 15:40:17.330,2007-05-30 17:47:38.087
90,2007-05-29 22:24:56.198,2007-05-30 03:49:02.211
91,2007-05-28 22:15:09.548,2007-05-30 12:58:32.641
92,2007-05-29 00:54:19.934,2007-05-31 11:59:12.824
93,2007-05-29 21:51:51.779,2007-05-29 23:02:45.252
94,2007-05-29 15:56:16.746,2007-05-30 02:34:26.589
95,2007-05-28 05:44:32.240,2007-05-29 21:27:07.276
96,2007-05-28 16:40:03.083,2007-05-29 07:56:16.332
97,2007-05-28 09:07:31.269,2007-05-28 16:55:56.382
98,2007-05-28 11:38:44.701,2007-05-28 23:28:50.074
99,2007-05-28 22:18:07.802,2007-05-29 20:23:24.410
100,2007-05-28 09:08:16.484,2007-05-29 10:30:18.549
